# FOFEM Species File - Updated DCL Feb. 16 2017
# This file is used in conjunction with the FOFEM tree mortality option
#
# Mort = Pre-Fire mortality equation number
# Brk  = Bark Equation
# Reg  = Region
#          Interior West   1
#          Pacific West    2
#          North East      3
#          South East      4
# Crn  = Crown Coefficient code used to calculate stand canopy cover
# PF   = Post-Fire mortality equation code. See Note-1 below.
# P    = A "P" in this column will cause the species to be displayed
#        in only the list of post-fire mortality equations
#
# Note-1: Ponderosa pine and Jeffrey pine have two post-fire mortality
#         equations. Equation code "PP" corresponds to the mortality
#         equation that uses crown volume scorched and equation code
#        "PK" corresponds to the mortality equation that uses
#         crown volume killed (bud kill). Species codes for ponderosa 
#        pine and Jeffrey pine that end in "K" are assigned to the
#         equations that use crown volume killed (bud kill) in the
#         mortality equation. E.g. PIPOK and PIJEK use crown kill
# 	  to estimate mortality.
#
#,Species,Name,Mort,Brk,Reg-1,Reg-2,Reg-3,Reg-4,Crn,PF,P
76,ALRU2,Alnus rubra -- Red alder,1,1,,2,,,22,, 
77,ALOR,Alnus rubra -- Red alder,1,1,,2,,,22,, 
78,AMAR3,Amelanchier arborea -- Common serviceberry,1,29,,,3,4,39,, 
79,AMARA3,Amelanchier arborea -- Alabama serviceberry,1,29,,,3,4,39,, 
80,AMARA4,Amelanchier arborea -- Common serviceberry,1,29,,,3,4,39,, 
81,AMARA5,Amelanchier arborea -- Downy serviceberry,1,29,,,3,4,39,, 
82,ARME,Arbutus menziesii -- Pacific madrone,1,34,,2,,,39,, 
83,BEAL2,Betula alleghaniensis -- Yellow birch,1,10,,,3,4,24,, 
84,BEALA,Betula alleghaniensis -- Yellow birch,1,10,,,3,4,24,, 
85,BEALF,Betula alleghaniensis -- Yellow birch,1,10,,,3,4,24,, 
86,BEALM,Betula alleghaniensis -- Yellow birch,1,10,,,3,4,24,, 
87,BELE,Betula lenta -- Sweet birch,1,9,,,,4,24,, 
88,BENI,Betula nigra -- River Birch,1,8,,,3,4,24,, 
89,BEOC2,Betula occidentalis -- Water birch,1,1,,,3,4,24,, 
90,BEOCI,Betula occidentalis -- Water birch,1,1,,,3,4,24,, 
91,BEPA,Betula papyrifera -- Paper birch,1,1,,2,3,4,24,, 
92,BEPAC2,Betula papyrifera -- Mountian paper birch,1,1,,2,3,4,24,, 
93,BEPAP,Betula papyrifera -- Paper birch,1,1,,2,3,4,24,, 
94,BEPAK,Betula papyrifera -- Kenai birch,1,1,,2,3,4,24,, 
95,BEPAP,Betula papyrifera -- Paper birch,1,1,,2,3,4,24,, 
96,BEPAC,Betula papyrifera -- Paper birch,1,1,,2,3,4,24,, 
97,BEPAE,Betula papyrifera -- Paper birch,1,1,,2,3,4,24,, 
98,BEPAM2,Betula papyrifera -- Paper birch,1,1,,2,3,4,24,, 
99,BEPAP2,Betula papyrifera -- Paper birch,1,1,,2,3,4,24,, 
100,BETSPP,Betula species  -- Birches,1,1,,2,3,4,24,, 
101,CEOC,Celtis occidentalis -- Common hackberry,1,14,,,3,4,24,, 
102,CEOCC,Celtis occidentalis -- Common hackberry,1,14,,,3,4,24,, 
103,CEOCC3,Celtis occidentalis -- Common hackberry,1,14,,,3,4,24,, 
104,CEOCC4,Celtis occidentalis -- Common hackberry,1,14,,,3,4,24,, 
105,CEOCO2,Celtis occidentalis -- Common hackberry,1,14,,,3,4,24,, 
106,CEOCP,Celtis occidentalis -- Common hackberry,1,14,,,3,4,24,, 
107,CANO9,Callitropsis nootkatensis -- Alaska cedar,1,2,,2,,,9,, 
108,CAAQ2,Carya aquatica -- Water hickory,1,19,,,3,4,39,, 
109,CAAQA3,Carya aquatica -- Water hickory,1,19,,,3,4,39,, 
110,CACA18,Carpinus caroliniana -- American hornbeam,1,9,,,3,4,39,, 
111,CACAC2,Carpinus caroliniana -- American hornbeam,1,9,,,3,4,39,, 
112,CACAV,Carpinus caroliniana -- American hornbeam,1,9,,,3,4,39,, 
113,CACAV2,Carpinus caroliniana -- American hornbeam,1,9,,,3,4,39,, 
114,CAAL27,Carya alba -- Mockernut hickory,1,22,,,3,4,39,, 
115,CACA38,Carya carolinae-septentrionalis -- Shagbark hi,1,19,,,3,4,39,, 
116,CACOL3,Carya cordiformis -- Bitternut hickory,1,16,,,3,4,39,, 
117,CACO15,Carya cordiformis -- Bitternut hickory,1,16,,,3,4,39,, 
118,CAGL8,Carya glabra -- Pignut hickory,1,16,,,3,4,39,, 
119,CAGLG2,Carya glabra -- Pignut hickory,1,16,,,3,4,39,, 
120,CAGLH,Carya glabra -- Pignut hickory,1,16,,,3,4,39,, 
121,CAGLM,Carya glabra -- Pignut hickory,1,16,,,3,4,39,, 
122,CAIL2,Carya illinoinensis -- Pecan,1,15,,,3,4,39,, 
123,CALA21,Carya laciniosa -- Shellbark hickory,1,22,,,3,4,39,, 
124,CAOV2,Carya ovata -- Shagbark hickory,1,19,,,3,4,39,, 
125,CAOVC,Carya ovata -- Shagbark hickory,1,19,,,3,4,39,, 
126,CAOVA,Carya ovata -- Shagbark hickory,1,19,,,3,4,39,, 
127,CAOVF,Carya ovata -- Shagbark hickory,1,19,,,3,4,39,, 
128,CAOVN,Carya ovata -- Shagbark hickory,1,19,,,3,4,39,, 
129,CAOVP,Carya ovata -- Shagbark hickory,1,19,,,3,4,39,, 
130,CAOVA,Carya ovata -- Shagbark hickory,1,19,,,3,4,39,, 
131,CARSPP,Carya species -- Hickories,1,23,,,3,4,39,, 
132,CATE9,Carya texana -- Black hickory,1,19,,,,4,39,, 
133,CATEA,Carya texana -- Black hickory,1,19,,,,4,39,, 
134,CATEV,Carya texana -- Black hickory,1,19,,,,4,39,, 
135,CATO6,Carya tomentosa -- Mockernut hickory,1,22,,,3,4,39,, 
136,CATOS,Carya tomentosa -- Mockernut hickory,1,22,,,3,4,39,, 
137,CACHM,Castanopsis chrysophylla -- Giant chinkapin,1,24,,2,,,25,, 
138,CACH6,Castanopsis chrysophylla -- Giant chinkapin,1,24,,2,,,25,, 
139,CADE12,Castanea dentata -- American chestnut,1,19,,,3,,39,, 
140,CAAM29,Castanea americana -- American chestnut,1,19,,,3,,39,, 
141,CATSPP,Catalpa species -- Catalpas,1,16,,,,4,39,, 
142,CELA,Celtis laevigata -- Sugarberry,1,15,,,3,4,39,, 
143,CELAB,Celtis laevigata -- Sugarberry,1,15,,,3,4,39,, 
144,CELAL,Celtis laevigata -- Sugarberry,1,15,,,3,4,39,, 
145,CELAA,Celtis laevigata -- Sugarberry,1,15,,,3,4,39,, 
146,CELAB2,Celtis laevigata -- Sugarberry,1,15,,,3,4,39,, 
147,CELAR,Celtis laevigata -- Netleaf hackberry,1,15,,,3,4,39,, 
148,CELAT8,Celtis laevigata -- Texan sugarberry,1,15,,,3,4,39,, 
149,CECA4,Cercis canadensis -- Eastern redbud,1,14,,,3,4,39,, 
150,CECAC,Cercis canadensis -- Eastern redbud,1,14,,,3,4,39,, 
151,CECAM,Cercis canadensis -- Mexican redbud,1,14,,,3,4,39,, 
152,CECAM2,Cercis canadensis -- Mexican redbud,1,14,,,3,4,39,, 
153,CECAT,Cercis canadensis -- Texas redbud,1,14,,,3,4,39,, 
154,CECAT2,Cercis canadensis -- Texas redbud,1,14,,,3,4,39,, 
155,CHLA,Chamaecyparis lawsoniana -- PortOrford-cedar,1,39,,2,,,9,, 
156,CHNO,Chamaecyparis nootkatensis -- Alaska-cedar,1,2,,2,,,9,, 
157,CHTH2,Chamaecyparis thyoides -- Atlantic white-cedar,1,4,,,3,4,9,, 
158,CHTHH,Chamaecyparis thyoides -- Atlantic white-cedar,1,4,,,3,4,9,, 
159,CHCHC4,Chrysolepis chrysophylla -- Giant chinkapin,1,24,,2,,,25,, 
160,CHCHM,Chrysolepis chrysophylla -- Giant chinkapin,1,24,,2,,,25,, 
161,COFL2,Cornus florida -- Flowering dogwood,1,20,,,3,4,34,, 
162,CONU4,Cornus nuttallii -- Pacific dogwood,1,35,,2,,,34,, 
163,CORSPP,Cornus species -- Dogwoods,1,10,,,3,4,34,, 
164,CRDO2,Crataegus douglasii -- Black hawthorn,1,17,,,,4,35,, 
165,CRDOD,Crataegus douglasii -- Black hawthorn,1,17,,,,4,35,, 
166,CRASPP,Crataegus species -- Hawthorns,1,35,,2,,,35,, 
167,CUNO,Cupressus nootkatensis -- Nootka Cypress,1,2,,2,,,9,, 
168,CUTH,Cupressus thyoides -- Atlantic white-cedar,1,4,,,3,4,9,, 
169,CUTHH,Cupressus thyoides -- Atlantic white-cedar,1,4,,,3,4,9,, 
170,DIVI5,Diospyros virginiana -- Persimmon,1,20,,,3,4,39,, 
171,DIVIM2,Diospyros virginiana -- Persimmon,1,20,,,3,4,39,, 
172,DIVIP2,Diospyros virginiana -- Persimmon,1,20,,,3,4,39,, 
173,DIVIP3,Diospyros virginiana -- Persimmon,1,20,,,3,4,39,, 
174,DIVIV4,Diospyros virginiana -- Persimmon,1,20,,,3,4,39,, 
175,FAGR,Fagus grandifolia -- American beech,1,4,,,3,4,39,, 
176,FAGRH,Fagus grandifolia -- American beech,1,4,,,3,4,39,, 
177,FAGRC,Fagus grandifolia -- American beech,1,4,,,3,4,39,, 
178,FRAM2,Fraxinus americana -- White ash,1,21,,,3,4,39,, 
179,FRAMB,Fraxinus americana -- White ash,1,21,,,3,4,39,, 
180,FRAMC,Fraxinus americana -- White ash,1,21,,,3,4,39,, 
181,FRAMC2,Fraxinus americana -- White ash,1,21,,,3,4,39,, 
182,FRAMJ,Fraxinus americana -- White ash,1,21,,,3,4,39,, 
183,FRAMM,Fraxinus americana -- White ash,1,21,,,3,4,39,, 
184,FRNI,Fraxinus nigra -- Black ash,1,14,,,3,4,39,, 
185,FRPE,Fraxinus pennsylvanica -- Green ash,1,18,,,3,4,39,, 
186,FRPEA,Fraxinus pennsylvanica -- Green ash,1,18,,,3,4,39,, 
187,FRPEI,Fraxinus pennsylvanica -- Green ash,1,18,,,3,4,39,, 
188,FRPEL,Fraxinus pennsylvanica -- Green ash,1,18,,,3,4,39,, 
189,FRPES,Fraxinus pennsylvanica -- Green ash,1,18,,,3,4,39,, 
190,FRPR,Fraxinus profunda -- Pumpkin ash,1,16,,,3,4,39,, 
191,FRQU,Fraxinus quadrangulata -- Blue ash,1,9,,,3,4,39,, 
192,FRASPP,Fraxinus species -- Ashes,1,21,,,3,4,39,, 
193,GLTR,Gleditsia triacanthos -- Honeylocust,1,17,,,3,4,39,, 
194,GLTRI,Gleditsia triacanthos -- Honeylocust,1,17,,,3,4,39,, 
195,GOLA,Gordonia lasianthus -- Loblolly bay,1,17,,,,4,39,, 
196,GYDI,Gymnocladus dioicus -- Kentucky coffeetree,1,10,,,3,4,39,, 
197,HALSPP,Halesia species -- Silverbells,1,17,,,,4,39,, 
198,ILOP,Ilex opaca -- American holly,1,21,,,3,4,39,, 
199,ILOPA,Ilex opaca -- American holly,1,21,,,3,4,39,, 
200,ILOPO,Ilex opaca -- American holly,1,21,,,3,4,39,, 
201,JUCI,Juglans cinerea -- Butternut,1,20,,,3,4,39,, 
202,JUNI,Juglans nigra -- Black walnut,1,20,,,3,4,39,, 
203,JUOC,Juniperus occidentalis -- Western juniper,1,24,,2,,,29,, 
204,JUOCO,Juniperus occidentalis -- Western juniper,1,24,,2,,,29,, 
205,JUNSPP,Juniperus species -- Junipers/Redcedars,1,19,,,3,4,29,, 
206,JUVI,Juniperus virginiana -- Eastern redcedar,1,19,,,3,4,18,, 
207,JUVIS,Juniperus virginiana -- Eastern redcedar,1,19,,,3,4,18,, 
208,JUVIS3,Juniperus virginiana -- Eastern redcedar,1,19,,,3,4,18,, 
209,JUVIS,Juniperus virginiana -- Southern redcedar,1,19,,,3,4,18,, 
210,JUVIV,Juniperus virginiana -- Southern redcedar,1,19,,,3,4,18,, 
211,JUVIC,Juniperus virginiana -- Eastern redcedar,1,19,,,3,4,18,, 
212,JUVIC2,Juniperus virginiana -- Eastern redcedar,1,19,,,3,4,18,, 
213,LALA,Larix laricina -- Tamarack,1,10,,,3,4,14,, 
214,LALAA9,Larix laricina -- Tamarack,1,10,,,3,4,14,, 
215,LALAA5,Larix laricina -- Tamarack,1,10,,,3,4,14,, 
216,LALY,Larix lyallii -- Subalpine Larch,1,29,,2,,,30,, 
217,LAOC,Larix occidentalis -- Western Larch,14,36,1,2,,,14,WL, 
218,CADE27,Calocedrus decurrens -- Incense-cedar,12,34,,2,,,18,IC, 
219,LIDE,Libocedrus decurrens -- Incense-cedar,12,34,,2,,,18,IC, 
220,LIST2,Liquidambar styraciflua -- Sweetgum,1,34,,,3,4,39,, 
221,LITU,Liriodendron tulipifera -- Tuliptree,1,29,,,3,4,39,, 
222,LIDE3,Lithocarpus densiflorus -- Tanoak,1,30,,2,,,39,, 
223,LIDED2,Lithocarpus densiflorus -- Tanoak,1,30,,2,,,39,, 
224,LIDEE,Lithocarpus densiflorus -- Tanoak,1,30,,2,,,39,, 
225,MAPO,Maclura pomifera -- Osage-orange,1,16,,,,4,39,, 
226,MAAC,Magnolia acuminata -- Cucumber-tree,1,15,,,3,4,39,, 
227,MAACC2,Magnolia acuminata -- Cucumber-tree,1,15,,,3,4,39,, 
228,MAACO,Magnolia acuminata -- Cucumber-tree,1,15,,,3,4,39,, 
229,MAACS,Magnolia acuminata -- Cucumber-tree,1,15,,,3,4,39,, 
230,MAGR4,Magnolia grandiflora -- Southern magnolia,1,12,,,,4,39,, 
231,MAMA2,Magnolia macrophylla -- Bigleaf magnolia,1,12,,,,4,39,, 
232,MAGSPP,Magnolia species -- Magnolias,1,18,,,3,4,39,, 
233,MAVI2,Magnolia virginiana -- Sweetbay,1,19,,,3,4,39,, 
234,MAVIT2,Magnolia virginiana -- Sweetbay,1,19,,,3,4,39,, 
235,MAVIA2,Magnolia virginiana -- Sweetbay,1,19,,,3,4,39,, 
236,MAVIP,Magnolia virginiana -- Sweetbay,1,19,,,3,4,39,, 
237,MALPRU,Prunus species -- Apples/Cherries,1,17,,,,4,39,, 
238,MALSPP,Malus species -- Apples,1,22,,,3,4,39,, 
239,MOAL,Morus alba -- White mulberry,1,17,,,,4,39,, 
240,MOALM,Morus alba -- White mulberry,1,17,,,,4,39,, 
241,MOALT,Morus alba -- White mulberry,1,17,,,,4,39,, 
242,MORU2,Morus rubra -- Red mulberry,1,17,,,,4,39,, 
243,MORUR,Morus rubra -- Red mulberry,1,17,,,,4,39,, 
244,MORUT,Morus rubra -- Red mulberry,1,17,,,,4,39,, 
245,MORSPP,Morus species -- Mulberries,1,12,,,3,4,39,, 
246,NYAQ2,Nyssa aquatica -- Water tupelo,1,32,,,,4,39,, 
247,NYOG,Nyssa ogeche -- Ogeechee tupelo,1,32,,,,4,39,, 
248,NYSSPP,Nyssa species -- Tupelos,1,23,,,3,4,39,, 
249,NYSY,Nyssa sylvatica -- Blackgum,1,32,,,3,4,39,, 
250,NYSYC,Nyssa sylvatica -- Blackgum,1,32,,,3,4,39,, 
251,NYSYD,Nyssa sylvatica -- Blackgum,1,32,,,3,4,39,, 
252,NYSYT,Nyssa sylvatica -- Blackgum,1,32,,,3,4,39,, 
253,NYBI,Nyssa biflora -- Swamp tupelo,1,32,,,,4,39,, 
254,OSVI,Ostrya virginiana -- Hophornbeam,1,16,,,3,4,39,, 
255,OSVIC,Ostrya virginiana -- Chisos hophornbeam,1,16,,,3,4,39,, 
256,OSVIV,Ostrya virginiana -- Hophornbeam,1,16,,,3,4,39,, 
257,OSVIL,Ostrya virginiana -- Hophornbeam,1,16,,,3,4,39,, 
258,OXAR,Oxydendrum arboreum -- Sourwood,1,15,,,3,4,39,, 
259,PATO2,Paulownia tomentosa -- Princesstree,1,29,,,3,4,39,, 
260,PEBO,Persea borbonia -- Redbay,1,17,,,,4,39,, 
261,PIAB,Picea abies -- Norway spruce,3,8,,,3,4,10,, 
262,PIEN,Picea engelmannii -- Engelmann spruce,15,15,1,2,,,10,ES, 
263,PIENE,Picea engelmannii -- Engelmann spruce,15,15,1,2,,,10,ES, 
264,PIENM2,Picea engelmannii -- Engelmann spruce,15,15,1,2,,,10,ES, 
265,PIENM,Picea engelmannii -- Engelmann spruce,15,15,1,2,,,10,ES, 
266,PIGL,Picea glauca -- White spruce,3,4,1,2,3,,10,, 
267,PIMA,Picea mariana -- Black spruce,3,11,,2,3,4,10,, 
268,PIMAM4,Picea mariana -- Black spruce,3,11,,2,3,4,10,, 
269,PIPU,Picea pungens -- Blue spruce,3,10,1,,,,10,, 
270,PIPUG3,Picea pungens -- Blue spruce,3,10,1,,,,10,, 
271,PIPUA,Picea pungens -- Blue spruce,3,10,1,,,,10,, 
272,PIRU,Picea rubens -- Red spruce,3,13,,,3,4,10,, 
273,PISI,Picea sitchensis -- Sitka spruce,3,6,,2,,,10,, 
274,PICSPP,Picea species -- Spruces,3,13,,,3,4,10,, 
275,PIAL,Pinus albicaulis -- Whitebark pine,17,9,1,2,,,31,WP, 
276,PIAT,Pinus attenuata -- Knobcone pine,1,9,,2,,,32,, 
277,PIBA2,Pinus banksiana -- Jack pine,1,19,,,3,,11,, 
278,PICL,Pinus clausa -- Sand pine,1,14,,,,4,11,, 
279,PICLI,Pinus clausa -- Sand pine,1,14,,,,4,11,, 
280,PICLI2,Pinus clausa -- Sand pine,1,14,,,,4,11,, 
281,PICO,Pinus contorta -- Lodgepole pine,17,7,1,2,,,11,WP, 
282,PICOB,Pinus contorta -- Bolander beach pine,17,7,1,2,,,11,WP, 
283,PICOB2,Pinus contorta -- Bolander beach pine,17,7,1,2,,,11,WP, 
284,PICOC,Pinus contorta -- Beach pine,17,7,1,2,,,11,WP, 
285,PICOC2,Pinus contorta -- Beach pine,17,7,1,2,,,11,WP, 
286,PICOL,Pinus contorta -- Lodgepole pine,17,7,1,2,,,11,WP, 
287,PICOL2,Pinus contorta -- Lodgepole pine,17,7,1,2,,,11,WP, 
288,PICOM,Pinus contorta -- Sierra lodgepole pine,17,7,1,2,,,11,WP, 
289,PICOM4,Pinus contorta -- Sierra lodgepole pine,17,7,1,2,,,11,WP, 
290,PIEC2,Pinus echinata -- Shortleaf pine,1,16,,,3,4,15,, 
291,PIEL,Pinus elliottii -- Slash pine,1,31,,,,4,15,, 
292,PIELD,Pinus elliottii -- Florida slash pine,1,31,,,,4,15,, 
293,PIELA,Pinus elliottii -- Florida slash pine,1,31,,,,4,15,, 
294,PIELA2,Pinus elliottii -- Florida slash pine,1,31,,,,4,15,, 
295,PIELE2,Pinus elliottii -- Slash pine,1,31,,,,4,15,, 
296,PIFL2,Pinus flexilis -- Limber pine,1,9,1,,,,31,, 
297,PIFLA,Pinus flexilis -- Limber pine,1,9,1,,,,31,, 
298,PIFLA2,Pinus flexilis -- Limber pine,1,9,1,,,,31,, 
299,PIFLC,Pinus flexilis -- Limber pine,1,9,1,,,,31,, 
300,PIFLC2,Pinus flexilis -- Limber pine,1,9,1,,,,31,, 
301,PIGL2,Pinus glabra -- Spruce pine,1,14,,,,4,11,, 
302,PIJE,Pinus jeffreyi -- Jeffrey pine,19,37,1,2,,,12,PP, 
303,PIJEK,Pinus jeffreyi -- Jeffrey pine,19,37,1,2,,,12,PK,P
304,PILA,Pinus lambertiana -- Sugar pine,18,38,1,2,,,13,SP, 
305,PIMO3,Pinus monticola -- Western white pine,1,14,1,2,,,14,, 
306,PIPA2,Pinus palustris -- Longleaf pine,5,28,,,,4,15,, 
307,PIPO,Pinus ponderosa -- Ponderosa pine,19,36,1,2,,,15,PP,
307.5, PIPO_BH,Pinus ponderosa -- Ponderosa Pine Black Hills,21,36,1,,,,15,PP,   
308,PIPOB2,Pinus ponderosa -- Ponderosa pine,19,36,1,2,,,15,PP, 
309,PIPOB,Pinus ponderosa -- Ponderosa pine,19,36,1,2,,,15,PP, 
310,PIPOP2,Pinus ponderosa -- Ponderosa pine,19,36,1,2,,,15,PP, 
311,PIPOB3,Pinus ponderosa -- Ponderosa pine,19,36,1,2,,,15,PP, 
312,PIPOP,Pinus ponderosa -- Ponderosa pine,19,36,1,2,,,15,PP, 
313,PIPOS,Pinus ponderosa -- Ponderosa pine,19,36,1,2,,,15,PP, 
314,PIPOS2,Pinus ponderosa -- Ponderosa pine,19,36,1,2,,,15,PP, 
315,PIPOW2,Pinus ponderosa -- Washoe pine,19,36,1,2,,,15,PP, 
316,PIPOW,Pinus ponderosa -- Washoe pine,19,36,1,2,,,15,PP, 
317,PIPOK,Pinus ponderosa -- Ponderosa pine,19,36,1,2,,,15,PK,P
318,PIPOBK,Pinus ponderosa -- Ponderosa pine,19,36,1,2,,,15,PK,P
319,PIPOP2K,Pinus ponderosa -- Ponderosa pine,19,36,1,2,,,15,PK,P
320,PIPOB3K,Pinus ponderosa -- Ponderosa pine,19,36,1,2,,,15,PK,P
321,PIPOPK,Pinus ponderosa -- Ponderosa pine,19,36,1,2,,,15,PK,P
322,PIPOSK,Pinus ponderosa -- Ponderosa pine,19,36,1,2,,,15,PK,P
